,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
102,2,0.008176341000080356,2.0,61.0,10,64,7
103,3,0.01221331600004305,2.0,62.0,10,64,7
104,4,0.012239446999956272,2.0,63.0,10,64,7
105,5,0.015433453000014197,2.0,64.0,10,64,7
106,1,0.004238958000087223,2.0,65.0,10,64,8
107,2,0.008176341000080356,3.0,67.0,10,64,8
108,3,0.01221331600004305,3.0,68.0,10,64,8
109,4,0.012239446999956272,3.0,69.0,10,64,8
110,5,0.015433453000014197,3.0,70.0,10,64,8
111,6,0.018326758000057453,3.0,71.0,10,64,8
112,7,0.04161051699998097,3.0,72.0,10,64,8
113,1,0.004238958000087223,1.0,73.0,10,64,9
114,2,0.008176341000080356,1.0,74.0,10,64,9
115,3,0.01221331600004305,1.0,75.0,10,64,9
116,4,0.012239446999956272,1.0,76.0,10,64,9
117,5,0.015433453000014197,1.0,77.0,10,64,9
118,1,0.004238958000087223,3.0,78.0,10,64,10
119,2,0.008176341000080356,3.0,79.0,10,64,10
120,3,0.01221331600004305,3.0,80.0,10,64,10
121,4,0.012239446999956272,3.0,81.0,10,64,10
122,5,0.015433453000014197,3.0,82.0,10,64,10
123,0,0.0001617729999452422,2.0,0.0,20,64,0
124,1,0.004238958000087223,2.0,1.0,20,64,0
125,2,0.008176341000080356,2.0,2.0,20,64,0
126,3,0.01221331600004305,2.0,3.0,20,64,0
127,4,0.012239446999956272,2.0,4.0,20,64,0
128,5,0.015433453000014197,2.0,5.0,20,64,0
129,1,0.004238958000087223,1.0,6.0,20,64,1
130,2,0.008176341000080356,1.0,7.0,20,64,1
131,3,0.01221331600004305,1.0,8.0,20,64,1
132,4,0.012239446999956272,1.0,9.0,20,64,1
133,5,0.015433453000014197,1.0,10.0,20,64,1
134,1,0.004238958000087223,5.0,12.0,20,64,2
135,2,0.008176341000080356,5.0,13.0,20,64,2
136,3,0.01221331600004305,5.0,14.0,20,64,2
137,4,0.012239446999956272,5.0,15.0,20,64,2
138,5,0.015433453000014197,5.0,16.0,20,64,2
139,6,0.018326758000057453,5.0,17.0,20,64,2
140,1,0.004238958000087223,2.0,18.0,20,64,3
141,2,0.008176341000080356,2.0,19.0,20,64,3
142,3,0.01221331600004305,2.0,20.0,20,64,3
143,4,0.012239446999956272,5.0,22.0,20,64,3
144,5,0.015433453000014197,5.0,23.0,20,64,3
145,6,0.018326758000057453,5.0,24.0,20,64,3
146,7,0.04161051699998097,5.0,25.0,20,64,3
147,8,0.04470885699993232,5.0,26.0,20,64,3
148,9,0.048784654999963095,5.0,27.0,20,64,3
149,1,0.004238958000087223,1.0,28.0,20,64,4
150,2,0.008176341000080356,1.0,29.0,20,64,4
151,3,0.01221331600004305,1.0,30.0,20,64,4
152,4,0.012239446999956272,1.0,31.0,20,64,4
153,5,0.015433453000014197,1.0,32.0,20,64,4
154,1,0.004238958000087223,1.0,33.0,20,64,5
155,2,0.008176341000080356,1.0,34.0,20,64,5
156,3,0.01221331600004305,1.0,35.0,20,64,5
157,4,0.012239446999956272,2.0,37.0,20,64,5
158,5,0.015433453000014197,2.0,38.0,20,64,5
159,6,0.018326758000057453,2.0,39.0,20,64,5
160,7,0.04161051699998097,2.0,40.0,20,64,5
161,8,0.04470885699993232,3.0,42.0,20,64,5
162,9,0.048784654999963095,3.0,43.0,20,64,5
163,10,0.04881009299992911,3.0,44.0,20,64,5
164,11,0.05163377600001695,4.0,46.0,20,64,5
165,12,0.0547706790000575,4.0,47.0,20,64,5
166,13,0.0575134360001357,4.0,48.0,20,64,5
167,14,0.060252241999933176,4.0,49.0,20,64,5
168,15,0.06303285500007405,4.0,50.0,20,64,5
169,16,0.06306130300004043,4.0,51.0,20,64,5
170,1,0.004238958000087223,1.0,52.0,20,64,6
171,2,0.008176341000080356,2.0,54.0,20,64,6
172,3,0.01221331600004305,2.0,55.0,20,64,6
173,4,0.012239446999956272,2.0,56.0,20,64,6
174,5,0.015433453000014197,2.0,57.0,20,64,6
175,6,0.018326758000057453,2.0,58.0,20,64,6
176,7,0.04161051699998097,2.0,59.0,20,64,6
177,1,0.004238958000087223,2.0,60.0,20,64,7
178,2,0.008176341000080356,2.0,61.0,20,64,7
179,3,0.01221331600004305,2.0,62.0,20,64,7
180,4,0.012239446999956272,2.0,63.0,20,64,7
181,5,0.015433453000014197,2.0,64.0,20,64,7
182,1,0.004238958000087223,2.0,65.0,20,64,8
183,2,0.008176341000080356,3.0,67.0,20,64,8
184,3,0.01221331600004305,3.0,68.0,20,64,8
185,4,0.012239446999956272,3.0,69.0,20,64,8
186,5,0.015433453000014197,3.0,70.0,20,64,8
187,6,0.018326758000057453,3.0,71.0,20,64,8
188,7,0.04161051699998097,3.0,72.0,20,64,8
189,1,0.004238958000087223,1.0,73.0,20,64,9
190,2,0.008176341000080356,1.0,74.0,20,64,9
191,3,0.01221331600004305,1.0,75.0,20,64,9
192,4,0.012239446999956272,1.0,76.0,20,64,9
193,5,0.015433453000014197,1.0,77.0,20,64,9
194,1,0.004238958000087223,3.0,78.0,20,64,10
195,2,0.008176341000080356,3.0,79.0,20,64,10
196,3,0.01221331600004305,3.0,80.0,20,64,10
197,4,0.012239446999956272,3.0,81.0,20,64,10
198,5,0.015433453000014197,3.0,82.0,20,64,10
199,1,0.004238958000087223,0.0,83.0,20,64,11
200,2,0.008176341000080356,0.0,84.0,20,64,11
201,3,0.01221331600004305,0.0,85.0,20,64,11
202,4,0.012239446999956272,0.0,86.0,20,64,11
203,5,0.015433453000014197,0.0,87.0,20,64,11
204,1,0.004238958000087223,0.0,88.0,20,64,12
205,2,0.008176341000080356,0.0,89.0,20,64,12
206,3,0.01221331600004305,0.0,90.0,20,64,12
207,4,0.012239446999956272,0.0,91.0,20,64,12
208,5,0.015433453000014197,0.0,92.0,20,64,12
209,1,0.004238958000087223,2.0,93.0,20,64,13
210,2,0.008176341000080356,2.0,94.0,20,64,13
211,3,0.01221331600004305,2.0,95.0,20,64,13
212,4,0.012239446999956272,2.0,96.0,20,64,13
213,5,0.015433453000014197,2.0,97.0,20,64,13
214,1,0.004238958000087223,1.0,98.0,20,64,14
215,2,0.008176341000080356,1.0,99.0,20,64,14
216,3,0.01221331600004305,1.0,100.0,20,64,14
217,4,0.012239446999956272,1.0,101.0,20,64,14
218,5,0.015433453000014197,1.0,102.0,20,64,14
219,1,0.004238958000087223,0.0,103.0,20,64,15
220,2,0.008176341000080356,0.0,104.0,20,64,15
221,3,0.01221331600004305,0.0,105.0,20,64,15
222,4,0.012239446999956272,0.0,106.0,20,64,15
223,5,0.015433453000014197,0.0,107.0,20,64,15
224,1,0.004238958000087223,1.0,108.0,20,64,16
225,2,0.008176341000080356,1.0,109.0,20,64,16
226,3,0.01221331600004305,1.0,110.0,20,64,16
227,4,0.012239446999956272,1.0,111.0,20,64,16
228,5,0.015433453000014197,1.0,112.0,20,64,16
229,1,0.004238958000087223,3.0,113.0,20,64,17
230,2,0.008176341000080356,3.0,114.0,20,64,17
231,3,0.01221331600004305,3.0,115.0,20,64,17
232,4,0.012239446999956272,3.0,116.0,20,64,17
233,5,0.015433453000014197,4.0,118.0,20,64,17
234,6,0.018326758000057453,4.0,119.0,20,64,17
235,7,0.04161051699998097,4.0,120.0,20,64,17
236,8,0.04470885699993232,4.0,121.0,20,64,17
237,9,0.048784654999963095,4.0,122.0,20,64,17
238,10,0.04881009299992911,4.0,123.0,20,64,17
239,1,0.004238958000087223,1.0,124.0,20,64,18
240,2,0.008176341000080356,1.0,125.0,20,64,18
241,3,0.01221331600004305,1.0,126.0,20,64,18
242,4,0.012239446999956272,1.0,127.0,20,64,18
243,5,0.015433453000014197,1.0,128.0,20,64,18
244,1,0.004238958000087223,7.0,129.0,20,64,19
245,2,0.008176341000080356,7.0,130.0,20,64,19
246,3,0.01221331600004305,7.0,131.0,20,64,19
247,4,0.012239446999956272,8.0,133.0,20,64,19
248,5,0.015433453000014197,8.0,134.0,20,64,19
249,6,0.018326758000057453,8.0,135.0,20,64,19
250,7,0.04161051699998097,8.0,136.0,20,64,19
251,8,0.04470885699993232,8.0,137.0,20,64,19
252,9,0.048784654999963095,9.0,139.0,20,64,19
253,10,0.04881009299992911,9.0,140.0,20,64,19
254,11,0.05163377600001695,9.0,141.0,20,64,19
255,12,0.0547706790000575,9.0,142.0,20,64,19
256,13,0.0575134360001357,10.0,144.0,20,64,19
257,14,0.060252241999933176,10.0,145.0,20,64,19
258,15,0.06303285500007405,10.0,146.0,20,64,19
259,16,0.06306130300004043,10.0,147.0,20,64,19
260,17,0.0658009230000971,10.0,148.0,20,64,19
261,18,0.06582961499998419,10.0,149.0,20,64,19
262,1,0.004238958000087223,2.0,150.0,20,64,20
263,2,0.008176341000080356,2.0,151.0,20,64,20
264,3,0.01221331600004305,2.0,152.0,20,64,20
265,4,0.012239446999956272,2.0,153.0,20,64,20
266,5,0.015433453000014197,2.0,154.0,20,64,20
