,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,2.0,0,0.00016269300249405205,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9999983648820208,1,10
1,2,2.0,4,0.012632106001547072,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9998730511508346,1,10
2,4,2.0,8,0.0157815610000398,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9998414025895562,1,10
3,6,2.0,12,0.018813968999893405,"[0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9998109311685784,1,10
4,8,6.0,16,0.022074551998230163,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9997781679469714,1,10
5,10,6.0,19,0.02637848699669121,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9997349224856302,1,10
