,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.005276172000000079,41.0,100.0,False,100,0.1,19
1,1,0.1643798470000002,29.0,202.0,False,100,0.1,19
2,2,0.3258313560000001,29.0,303.0,False,100,0.1,19
3,3,0.4863850220000001,29.0,404.0,False,100,0.1,19
4,4,0.646474282,29.0,505.0,False,100,0.1,19
5,5,0.8093080699999999,29.0,606.0,False,100,0.1,19
6,6,0.969471551,29.0,707.0,False,100,0.1,19
7,7,1.1290489500000003,29.0,808.0,False,100,0.1,19
8,8,1.290408795,29.0,909.0,False,100,0.1,19
9,9,1.4509569370000002,29.0,1010.0,False,100,0.1,19
10,10,1.611260871,29.0,1111.0,False,100,0.1,19
11,11,1.7718264570000002,29.0,1212.0,False,100,0.1,19
12,0,0.005276172000000079,41.0,200.0,False,200,0.1,19
13,1,0.1643798470000002,25.0,402.0,False,200,0.1,19
14,2,0.3258313560000001,24.0,604.0,False,200,0.1,19
15,3,0.4863850220000001,24.0,805.0,False,200,0.1,19
16,4,0.646474282,24.0,1006.0,False,200,0.1,19
17,5,0.8093080699999999,24.0,1207.0,False,200,0.1,19
18,6,0.969471551,24.0,1408.0,False,200,0.1,19
19,7,1.1290489500000003,24.0,1609.0,False,200,0.1,19
20,8,1.290408795,24.0,1810.0,False,200,0.1,19
21,9,1.4509569370000002,24.0,2011.0,False,200,0.1,19
22,10,1.611260871,24.0,2212.0,False,200,0.1,19
23,11,1.7718264570000002,24.0,2413.0,False,200,0.1,19
24,12,0.009751324000000228,24.0,2614.0,False,200,0.1,19
