,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
94,94,0.387750488,306.0,4862.0,50,0.1,190
95,95,0.39146379499999995,306.0,4913.0,50,0.1,190
96,96,0.39533829100000006,306.0,4964.0,50,0.1,190
97,97,0.39906802399999997,306.0,5015.0,50,0.1,190
98,98,0.40275042699999997,306.0,5066.0,50,0.1,190
99,99,0.406399167,306.0,5117.0,50,0.1,190
100,100,0.4100526790000001,306.0,5168.0,50,0.1,190
101,101,0.417461761,306.0,5219.0,50,0.1,190
102,102,0.42147305700000004,306.0,5270.0,50,0.1,190
103,103,0.4251593469999999,306.0,5321.0,50,0.1,190
104,104,0.42890749699999997,306.0,5372.0,50,0.1,190
105,105,0.4327399089999999,306.0,5423.0,50,0.1,190
106,106,0.4364515520000001,306.0,5474.0,50,0.1,190
107,107,0.44006894799999996,306.0,5525.0,50,0.1,190
108,108,0.44368345,306.0,5576.0,50,0.1,190
109,109,0.4474637160000001,306.0,5627.0,50,0.1,190
110,110,0.4512049710000001,306.0,5678.0,50,0.1,190
111,111,0.45942678800000003,306.0,5729.0,50,0.1,190
112,112,0.4635809809999998,306.0,5780.0,50,0.1,190
113,113,0.46751431499999985,306.0,5831.0,50,0.1,190
114,114,0.471158462,306.0,5882.0,50,0.1,190
115,115,0.474803874,306.0,5933.0,50,0.1,190
116,116,0.478462162,306.0,5984.0,50,0.1,190
117,117,0.4821207379999999,306.0,6035.0,50,0.1,190
118,118,0.4857927449999999,306.0,6086.0,50,0.1,190
119,119,0.4899383249999998,306.0,6137.0,50,0.1,190
120,120,0.49352762299999986,306.0,6188.0,50,0.1,190
121,121,0.501542878,306.0,6239.0,50,0.1,190
122,122,0.5051852210000001,306.0,6290.0,50,0.1,190
123,123,0.5088189660000002,306.0,6341.0,50,0.1,190
124,124,0.5125005599999999,306.0,6392.0,50,0.1,190
125,125,0.5161630480000001,306.0,6443.0,50,0.1,190
126,126,0.5200570170000001,306.0,6494.0,50,0.1,190
127,127,0.5240847450000001,306.0,6545.0,50,0.1,190
128,128,0.5276746170000002,306.0,6596.0,50,0.1,190
129,129,0.5314450399999999,306.0,6647.0,50,0.1,190
130,130,0.5352576870000001,306.0,6698.0,50,0.1,190
131,131,0.5428404709999999,306.0,6749.0,50,0.1,190
132,132,0.5463646510000002,306.0,6800.0,50,0.1,190
133,133,0.5499052240000002,306.0,6851.0,50,0.1,190
134,134,0.5536679630000001,306.0,6902.0,50,0.1,190
135,135,0.557620177,306.0,6953.0,50,0.1,190
136,136,0.5613336329999998,306.0,7004.0,50,0.1,190
137,137,0.5651770150000002,306.0,7055.0,50,0.1,190
138,138,0.5688191809999998,306.0,7106.0,50,0.1,190
139,139,0.5724129919999998,306.0,7157.0,50,0.1,190
140,140,0.5759934339999999,306.0,7208.0,50,0.1,190
141,141,0.583761076,306.0,7259.0,50,0.1,190
142,142,0.587824941,306.0,7310.0,50,0.1,190
143,0,0.0016030209999999823,0.0,100.0,100,0.1,190
144,1,0.010248041000000097,256.0,202.0,100,0.1,190
145,2,0.013832378999999895,256.0,303.0,100,0.1,190
146,3,0.017359697000000063,266.0,405.0,100,0.1,190
147,4,0.021534919999999902,266.0,506.0,100,0.1,190
148,5,0.025307669999999893,266.0,607.0,100,0.1,190
149,6,0.029310877999999985,266.0,708.0,100,0.1,190
150,7,0.03319679800000008,272.0,810.0,100,0.1,190
151,8,0.036816391999999976,272.0,911.0,100,0.1,190
152,9,0.040465092000000036,272.0,1012.0,100,0.1,190
153,10,0.04411818700000003,274.0,1114.0,100,0.1,190
154,11,0.051136360999999964,279.0,1216.0,100,0.1,190
155,12,0.05545504499999998,279.0,1317.0,100,0.1,190
156,13,0.05915431399999993,279.0,1418.0,100,0.1,190
157,14,0.06281051800000004,281.0,1520.0,100,0.1,190
158,15,0.06666835199999999,287.0,1622.0,100,0.1,190
159,16,0.07028411600000006,287.0,1723.0,100,0.1,190
160,17,0.0738296169999999,287.0,1824.0,100,0.1,190
161,18,0.07741115099999996,287.0,1925.0,100,0.1,190
162,19,0.08098239299999999,290.0,2027.0,100,0.1,190
