,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0.0,0.0,0,0.00014776700000007637,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9999985148931247,1,19
1,1.0,0.0,2,0.005211783000000025,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9999476212022715,1,19
2,2.0,0.0,4,0.008346364000000106,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9999161197567887,1,19
3,3.0,0.0,6,0.011841057000000044,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.999881000481294,1,19
4,4.0,0.0,8,0.015132603000000078,"[1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9998479238222667,1,19
5,5.0,0.0,10,0.018669752000000095,"[0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9998123803248714,1,19
6,6.0,0.0,12,0.021777625000000134,"[0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9997811515054846,1,19
7,7.0,70.0,14,0.035948209000000064,"[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9996387736841595,1,19
8,8.0,85.0,16,0.03930536700000009,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9996050458757272,1,19
9,9.0,85.0,17,0.04251524400000006,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9995727987953376,1,19
10,10.0,85.0,18,0.04616766600000011,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9995361070827347,1,19
11,11.0,87.0,20,0.04933743800000001,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9995042650951212,1,19
12,12.0,87.0,21,0.052540988000000066,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9994720848208052,1,19
13,13.0,87.0,22,0.055646552000000016,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9994408898236898,1,19
14,14.0,87.0,23,0.05875208200000004,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9994096961417259,1,19
15,15.0,87.0,24,0.061883168000000044,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9993782467466313,1,19
16,16.0,87.0,25,0.065355673,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9993433692128321,1,19
17,17.0,87.0,26,0.06859583199999997,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9993108264395143,1,19
18,18.0,87.0,27,0.071741834,"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9992792303528789,1,19
