,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.00014776700000007637,0.0,0.0,1,19
1,1,0.005211783000000025,0.0,2.0,1,19
2,2,0.008346364000000106,0.0,4.0,1,19
3,3,0.011841057000000044,0.0,6.0,1,19
4,4,0.015132603000000078,0.0,8.0,1,19
5,5,0.018669752000000095,0.0,10.0,1,19
6,6,0.021777625000000134,0.0,12.0,1,19
7,7,0.035948209000000064,70.0,14.0,1,19
8,8,0.03930536700000009,85.0,16.0,1,19
9,9,0.04251524400000006,85.0,17.0,1,19
10,10,0.04616766600000011,85.0,18.0,1,19
11,11,0.04933743800000001,87.0,20.0,1,19
12,12,0.052540988000000066,87.0,21.0,1,19
13,13,0.055646552000000016,87.0,22.0,1,19
14,14,0.05875208200000004,87.0,23.0,1,19
15,15,0.061883168000000044,87.0,24.0,1,19
16,16,0.065355673,87.0,25.0,1,19
17,17,0.06859583199999997,87.0,26.0,1,19
18,18,0.071741834,87.0,27.0,1,19
19,19,0.07494519300000002,87.0,28.0,1,19
20,0,0.00014776700000007637,0.0,0.0,10,19
21,1,0.005211783000000025,0.0,2.0,10,19
22,2,0.008346364000000106,0.0,4.0,10,19
23,3,0.011841057000000044,0.0,6.0,10,19
24,4,0.015132603000000078,0.0,8.0,10,19
25,5,0.018669752000000095,0.0,10.0,10,19
26,6,0.021777625000000134,0.0,12.0,10,19
27,7,0.035948209000000064,70.0,14.0,10,19
28,8,0.03930536700000009,85.0,16.0,10,19
29,9,0.04251524400000006,76.0,18.0,10,19
30,10,0.04616766600000011,67.0,20.0,10,19
31,11,0.04933743800000001,69.0,22.0,10,19
32,12,0.052540988000000066,59.0,24.0,10,19
33,13,0.055646552000000016,69.0,26.0,10,19
34,14,0.05875208200000004,69.0,27.0,10,19
35,15,0.061883168000000044,69.0,28.0,10,19
36,16,0.065355673,78.0,30.0,10,19
37,17,0.06859583199999997,78.0,31.0,10,19
38,18,0.071741834,89.0,33.0,10,19
39,19,0.07494519300000002,89.0,34.0,10,19
40,0,0.00014776700000007637,0.0,0.0,100,19
41,1,0.005211783000000025,0.0,2.0,100,19
42,2,0.008346364000000106,0.0,4.0,100,19
43,3,0.011841057000000044,0.0,6.0,100,19
44,4,0.015132603000000078,0.0,8.0,100,19
45,5,0.018669752000000095,0.0,10.0,100,19
46,6,0.021777625000000134,0.0,12.0,100,19
47,7,0.035948209000000064,70.0,14.0,100,19
48,8,0.03930536700000009,85.0,16.0,100,19
49,9,0.04251524400000006,76.0,18.0,100,19
50,10,0.04616766600000011,67.0,20.0,100,19
51,11,0.04933743800000001,69.0,22.0,100,19
52,12,0.052540988000000066,59.0,24.0,100,19
53,13,0.055646552000000016,69.0,26.0,100,19
54,14,0.05875208200000004,69.0,27.0,100,19
55,15,0.061883168000000044,59.0,29.0,100,19
56,16,0.065355673,68.0,31.0,100,19
57,17,0.06859583199999997,69.0,33.0,100,19
58,18,0.071741834,69.0,34.0,100,19
59,19,0.07494519300000002,0.0,36.0,100,19
