,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,0.00013565699999995573,2.0,0.0,1,19
1,1,0.005222526000000061,2.0,2.0,1,19
2,2,0.008620612999999944,2.0,4.0,1,19
3,3,0.011652844000000107,2.0,6.0,1,19
4,4,0.014618873999999948,2.0,8.0,1,19
5,5,0.017575515000000097,2.0,10.0,1,19
6,6,0.031973089000000066,2.0,12.0,1,19
7,7,0.035616703999999944,2.0,14.0,1,19
8,8,0.03898025199999999,6.0,16.0,1,19
9,9,0.0424165110000001,6.0,18.0,1,19
10,10,0.04560314599999993,6.0,19.0,1,19
11,11,0.0487338100000001,6.0,21.0,1,19
12,12,0.05201409700000004,6.0,23.0,1,19
13,13,0.05567195399999991,6.0,24.0,1,19
14,14,0.058802366000000106,6.0,26.0,1,19
15,15,0.061919363000000116,6.0,28.0,1,19
16,16,0.06520445100000005,3.0,30.0,1,19
17,17,0.06836448500000003,3.0,32.0,1,19
18,18,0.07169325900000012,3.0,34.0,1,19
19,19,0.07544619800000008,3.0,36.0,1,19
20,0,0.00013565699999995573,2.0,0.0,10,19
21,1,0.005222526000000061,2.0,2.0,10,19
22,2,0.008620612999999944,2.0,4.0,10,19
23,3,0.011652844000000107,2.0,6.0,10,19
24,4,0.014618873999999948,2.0,8.0,10,19
25,5,0.017575515000000097,2.0,10.0,10,19
26,6,0.031973089000000066,2.0,12.0,10,19
27,7,0.035616703999999944,2.0,14.0,10,19
28,8,0.03898025199999999,6.0,16.0,10,19
29,9,0.0424165110000001,6.0,18.0,10,19
30,10,0.04560314599999993,0.0,20.0,10,19
31,11,0.0487338100000001,0.0,22.0,10,19
32,12,0.05201409700000004,0.0,24.0,10,19
33,13,0.05567195399999991,0.0,26.0,10,19
34,14,0.058802366000000106,0.0,28.0,10,19
35,15,0.061919363000000116,0.0,30.0,10,19
36,16,0.06520445100000005,0.0,32.0,10,19
37,17,0.06836448500000003,0.0,34.0,10,19
38,18,0.07169325900000012,1.0,36.0,10,19
39,19,0.07544619800000008,1.0,38.0,10,19
40,0,0.00013565699999995573,2.0,0.0,100,19
41,1,0.005222526000000061,2.0,2.0,100,19
42,2,0.008620612999999944,2.0,4.0,100,19
43,3,0.011652844000000107,2.0,6.0,100,19
44,4,0.014618873999999948,2.0,8.0,100,19
45,5,0.017575515000000097,2.0,10.0,100,19
46,6,0.031973089000000066,2.0,12.0,100,19
47,7,0.035616703999999944,2.0,14.0,100,19
48,8,0.03898025199999999,6.0,16.0,100,19
49,9,0.0424165110000001,6.0,18.0,100,19
50,10,0.04560314599999993,0.0,20.0,100,19
51,11,0.0487338100000001,0.0,22.0,100,19
52,12,0.05201409700000004,0.0,24.0,100,19
53,13,0.05567195399999991,0.0,26.0,100,19
54,14,0.058802366000000106,0.0,28.0,100,19
55,15,0.061919363000000116,0.0,30.0,100,19
56,16,0.06520445100000005,0.0,32.0,100,19
57,17,0.06836448500000003,0.0,34.0,100,19
58,18,0.07169325900000012,1.0,36.0,100,19
59,19,0.07544619800000008,1.0,38.0,100,19
