,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0.0,2.0,0,0.00013764700000007402,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",geometric,1,0.99,0.001,0.9999986166023777,1,475
1,25.0,3.0,47,0.006151634000000072,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0]",geometric,1,0.99,0.001,0.9999381759234391,1,475
2,50.0,26.0,94,0.010594647000000013,"[1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9998935259081692,1,475
3,75.0,27.0,131,0.015402338999999987,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.999845213300818,1,475
4,100.0,27.0,165,0.020875093000000122,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9997902203112136,1,475
5,125.0,29.0,198,0.026348573000000153,"[1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9997352230516945,1,475
6,150.0,36.0,229,0.04731407600000015,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9995245906884378,1,475
7,175.0,36.0,254,0.05404128300000011,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9994570144259478,1,475
8,200.0,36.0,279,0.060881015000000094,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9993883125092661,1,475
9,225.0,36.0,304,0.06740835700000014,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9993227528082922,1,475
10,250.0,36.0,329,0.07479228100000013,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.999248594903007,1,475
11,275.0,36.0,354,0.08244553300000002,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.999171737902299,1,475
12,300.0,36.0,379,0.09047041,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9990911552444964,1,475
13,325.0,36.0,404,0.09840272700000008,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9990115084247425,1,475
14,350.0,36.0,427,0.10670626200000011,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9989281410808095,1,475
15,375.0,36.0,427,0.10670626200000011,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9989281410808095,1,475
16,400.0,36.0,427,0.10670626200000011,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9989281410808095,1,475
17,425.0,36.0,427,0.10670626200000011,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9989281410808095,1,475
18,450.0,36.0,427,0.10670626200000011,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9989281410808095,1,475
19,475.0,36.0,427,0.10670626200000011,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,1,0.99,0.001,0.9989281410808095,1,475
20,0.0,2.0,0,7.696499999987338e-05,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",geometric,5,0.99,0.001,4.999996132381001,5,475
21,25.0,2.0,50,0.0064798989999999,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0]",geometric,5,0.99,0.001,4.999674384796752,5,475
22,50.0,25.0,99,0.013250945999999875,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0]",geometric,5,0.99,0.001,4.99933416204957,5,475
23,75.0,25.0,142,0.019973024999999867,"[1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,5,0.99,0.001,4.99899642268392,5,475
24,100.0,28.0,179,0.027250741999999883,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0]",geometric,5,0.99,0.001,4.998630791960512,5,475
25,125.0,25.0,218,0.034846672999999884,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,5,0.99,0.001,4.9982492027655345,5,475
26,150.0,25.0,258,0.04304245100000004,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",geometric,5,0.99,0.001,4.9978375123276315,5,475
27,175.0,28.0,295,0.051278171999999955,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",geometric,5,0.99,0.001,4.99742384963035,5,475
28,200.0,28.0,332,0.059961127,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0]",geometric,5,0.99,0.001,4.996987760400807,5,475
29,225.0,30.0,365,0.06887980599999999,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",geometric,5,0.99,0.001,4.9965398718821765,5,475
30,250.0,36.0,399,0.07847325099999991,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",geometric,5,0.99,0.001,4.996058142001262,5,475
31,275.0,36.0,424,0.08780824799999998,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",geometric,5,0.99,0.001,4.995589434537978,5,475
32,300.0,36.0,449,0.09771465200000007,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",geometric,5,0.99,0.001,4.995092084988364,5,475
33,325.0,36.0,474,0.10818658199999986,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",geometric,5,0.99,0.001,4.994566397125012,5,475
34,350.0,36.0,499,0.11887472999999993,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",geometric,5,0.99,0.001,4.994029912229511,5,475
35,375.0,36.0,524,0.129908967,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",geometric,5,0.99,0.001,4.993476116068304,5,475
36,400.0,36.0,549,0.14154150799999998,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",geometric,5,0.99,0.001,4.992892358186841,5,475
37,425.0,36.0,574,0.15318426100000004,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",geometric,5,0.99,0.001,4.9923081561683444,5,475
38,450.0,36.0,588,0.163369278,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",geometric,5,0.99,0.001,4.991797155473906,5,475
39,475.0,36.0,588,0.163369278,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",geometric,5,0.99,0.001,4.991797155473906,5,475
40,0.0,2.0,0,8.925399999992756e-05,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]",geometric,10,0.99,0.001,9.999991029677261,10,475
41,25.0,2.0,50,0.009223330999999835,"[1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0]",geometric,10,0.99,0.001,9.999073067220493,10,475
42,50.0,25.0,99,0.018412054999999983,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.998149697836991,10,475
43,75.0,0.0,148,0.028322474999999958,"[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1]",geometric,10,0.99,0.001,9.997153901231249,10,475
44,100.0,1.0,198,0.03868541099999989,"[1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1]",geometric,10,0.99,0.001,9.996112742002785,10,475
45,125.0,0.0,248,0.04899106399999997,"[0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]",geometric,10,0.99,0.001,9.995077445504684,10,475
46,150.0,1.0,297,0.059863791999999805,"[0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",geometric,10,0.99,0.001,9.993985297407356,10,475
47,175.0,5.0,343,0.07128961299999981,"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.992837720602513,10,475
48,200.0,9.0,380,0.0827214839999999,"[1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.991689668030148,10,475
49,225.0,33.0,413,0.0946788129999998,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.990488987149579,10,475
50,250.0,36.0,439,0.1070728809999999,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.98924460392929,10,475
51,275.0,36.0,464,0.11940539399999994,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.988006554767974,10,475
52,300.0,36.0,489,0.1323029229999999,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.986711948339158,10,475
53,325.0,35.0,515,0.14546805399999996,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.985390654067999,10,475
54,350.0,35.0,540,0.1588226709999998,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.984050520987642,10,475
55,375.0,36.0,566,0.1727185469999999,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.982656263617736,10,475
56,400.0,36.0,591,0.18667191599999988,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.98125643354296,10,475
57,425.0,36.0,616,0.20144710199999993,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.979774371106366,10,475
58,450.0,36.0,641,0.2162435680000001,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.97829039466452,10,475
59,475.0,36.0,666,0.23159659999999982,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,10,0.99,0.001,9.976750832027555,10,475
