,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
90,11,0.050049954999999535,8.0,100.0,10,19,6
91,12,0.05300071599999967,8.0,101.0,10,19,6
92,13,0.05585306199999973,8.0,102.0,10,19,6
93,14,0.05869860399999993,8.0,103.0,10,19,6
94,15,0.06156259900000016,8.0,104.0,10,19,6
95,16,0.06444441499999964,8.0,105.0,10,19,6
96,17,0.06736594799999995,8.0,106.0,10,19,6
97,18,0.07025024399999946,8.0,107.0,10,19,6
98,19,0.07321928,8.0,108.0,10,19,6
99,1,0.019271231999999472,5.0,109.0,10,19,7
100,2,0.022440299999999525,5.0,110.0,10,19,7
101,3,0.025123995999999593,5.0,111.0,10,19,7
102,4,0.027843912999999887,5.0,112.0,10,19,7
103,5,0.030551638999999575,5.0,113.0,10,19,7
104,6,0.03529247399999935,5.0,114.0,10,19,7
105,7,0.03850702299999931,5.0,115.0,10,19,7
106,8,0.04173878399999964,5.0,116.0,10,19,7
107,9,0.044539878000000144,5.0,117.0,10,19,7
108,10,0.04729044099999946,6.0,119.0,10,19,7
109,11,0.050049954999999535,6.0,120.0,10,19,7
110,12,0.05300071599999967,6.0,121.0,10,19,7
111,13,0.05585306199999973,6.0,122.0,10,19,7
112,14,0.05869860399999993,6.0,123.0,10,19,7
113,15,0.06156259900000016,6.0,124.0,10,19,7
114,16,0.06444441499999964,6.0,125.0,10,19,7
115,17,0.06736594799999995,6.0,126.0,10,19,7
116,18,0.07025024399999946,6.0,127.0,10,19,7
117,19,0.07321928,6.0,128.0,10,19,7
118,1,0.019271231999999472,1.0,129.0,10,19,8
119,2,0.022440299999999525,1.0,130.0,10,19,8
120,3,0.025123995999999593,1.0,131.0,10,19,8
121,4,0.027843912999999887,1.0,132.0,10,19,8
122,5,0.030551638999999575,1.0,133.0,10,19,8
123,6,0.03529247399999935,4.0,135.0,10,19,8
124,7,0.03850702299999931,4.0,136.0,10,19,8
125,8,0.04173878399999964,4.0,137.0,10,19,8
126,9,0.044539878000000144,4.0,138.0,10,19,8
127,10,0.04729044099999946,4.0,139.0,10,19,8
128,11,0.050049954999999535,4.0,140.0,10,19,8
129,12,0.05300071599999967,6.0,142.0,10,19,8
130,13,0.05585306199999973,6.0,143.0,10,19,8
131,14,0.05869860399999993,6.0,144.0,10,19,8
132,15,0.06156259900000016,6.0,145.0,10,19,8
133,16,0.06444441499999964,6.0,146.0,10,19,8
134,17,0.06736594799999995,6.0,147.0,10,19,8
135,18,0.07025024399999946,6.0,148.0,10,19,8
136,19,0.07321928,6.0,149.0,10,19,8
137,1,0.019271231999999472,0.0,150.0,10,19,9
138,2,0.022440299999999525,0.0,151.0,10,19,9
139,3,0.025123995999999593,0.0,152.0,10,19,9
140,4,0.027843912999999887,0.0,153.0,10,19,9
141,5,0.030551638999999575,0.0,154.0,10,19,9
142,6,0.03529247399999935,0.0,155.0,10,19,9
143,7,0.03850702299999931,0.0,156.0,10,19,9
144,8,0.04173878399999964,0.0,157.0,10,19,9
145,9,0.044539878000000144,0.0,158.0,10,19,9
146,10,0.04729044099999946,0.0,159.0,10,19,9
147,1,0.019271231999999472,1.0,160.0,10,19,10
148,2,0.022440299999999525,1.0,161.0,10,19,10
149,3,0.025123995999999593,1.0,162.0,10,19,10
150,4,0.027843912999999887,1.0,163.0,10,19,10
151,5,0.030551638999999575,1.0,164.0,10,19,10
152,6,0.03529247399999935,1.0,165.0,10,19,10
153,7,0.03850702299999931,1.0,166.0,10,19,10
154,8,0.04173878399999964,1.0,167.0,10,19,10
155,9,0.044539878000000144,2.0,169.0,10,19,10
156,10,0.04729044099999946,2.0,170.0,10,19,10
157,11,0.050049954999999535,2.0,171.0,10,19,10
158,12,0.05300071599999967,2.0,172.0,10,19,10
159,13,0.05585306199999973,9.0,174.0,10,19,10
160,14,0.05869860399999993,9.0,175.0,10,19,10
161,15,0.06156259900000016,9.0,176.0,10,19,10
162,16,0.06444441499999964,9.0,177.0,10,19,10
163,17,0.06736594799999995,9.0,178.0,10,19,10
164,18,0.07025024399999946,9.0,179.0,10,19,10
165,19,0.07321928,9.0,180.0,10,19,10
