,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.00016341699999955495,2.0,0.0,10,19,0
1,1,0.019271231999999472,2.0,1.0,10,19,0
2,2,0.022440299999999525,2.0,2.0,10,19,0
3,3,0.025123995999999593,2.0,3.0,10,19,0
4,4,0.027843912999999887,2.0,4.0,10,19,0
5,5,0.030551638999999575,2.0,5.0,10,19,0
6,6,0.03529247399999935,2.0,6.0,10,19,0
7,7,0.03850702299999931,3.0,8.0,10,19,0
8,8,0.04173878399999964,3.0,9.0,10,19,0
9,9,0.044539878000000144,3.0,10.0,10,19,0
10,10,0.04729044099999946,5.0,12.0,10,19,0
11,11,0.050049954999999535,5.0,13.0,10,19,0
12,12,0.05300071599999967,5.0,14.0,10,19,0
13,13,0.05585306199999973,5.0,15.0,10,19,0
14,14,0.05869860399999993,5.0,16.0,10,19,0
15,15,0.06156259900000016,5.0,17.0,10,19,0
16,16,0.06444441499999964,29.0,19.0,10,19,0
17,17,0.06736594799999995,29.0,20.0,10,19,0
18,18,0.07025024399999946,29.0,21.0,10,19,0
19,19,0.07321928,29.0,22.0,10,19,0
20,1,0.019271231999999472,2.0,23.0,10,19,1
21,2,0.022440299999999525,2.0,24.0,10,19,1
22,3,0.025123995999999593,2.0,25.0,10,19,1
23,4,0.027843912999999887,2.0,26.0,10,19,1
24,5,0.030551638999999575,2.0,27.0,10,19,1
25,6,0.03529247399999935,3.0,29.0,10,19,1
26,7,0.03850702299999931,3.0,30.0,10,19,1
27,8,0.04173878399999964,3.0,31.0,10,19,1
28,9,0.044539878000000144,3.0,32.0,10,19,1
29,10,0.04729044099999946,3.0,33.0,10,19,1
30,11,0.050049954999999535,3.0,34.0,10,19,1
31,12,0.05300071599999967,3.0,35.0,10,19,1
32,13,0.05585306199999973,3.0,36.0,10,19,1
33,14,0.05869860399999993,3.0,37.0,10,19,1
34,15,0.06156259900000016,3.0,38.0,10,19,1
35,16,0.06444441499999964,3.0,39.0,10,19,1
36,1,0.019271231999999472,1.0,41.0,10,19,2
37,2,0.022440299999999525,1.0,42.0,10,19,2
38,3,0.025123995999999593,1.0,43.0,10,19,2
39,4,0.027843912999999887,1.0,44.0,10,19,2
40,5,0.030551638999999575,1.0,45.0,10,19,2
41,6,0.03529247399999935,1.0,46.0,10,19,2
42,7,0.03850702299999931,1.0,47.0,10,19,2
43,8,0.04173878399999964,1.0,48.0,10,19,2
44,9,0.044539878000000144,1.0,49.0,10,19,2
45,10,0.04729044099999946,1.0,50.0,10,19,2
46,11,0.050049954999999535,1.0,51.0,10,19,2
47,1,0.019271231999999472,2.0,52.0,10,19,3
48,2,0.022440299999999525,2.0,53.0,10,19,3
49,3,0.025123995999999593,2.0,54.0,10,19,3
50,4,0.027843912999999887,2.0,55.0,10,19,3
51,5,0.030551638999999575,2.0,56.0,10,19,3
52,6,0.03529247399999935,2.0,57.0,10,19,3
53,7,0.03850702299999931,2.0,58.0,10,19,3
54,8,0.04173878399999964,2.0,59.0,10,19,3
55,9,0.044539878000000144,2.0,60.0,10,19,3
56,10,0.04729044099999946,2.0,61.0,10,19,3
57,1,0.019271231999999472,1.0,63.0,10,19,4
58,2,0.022440299999999525,1.0,64.0,10,19,4
59,3,0.025123995999999593,1.0,65.0,10,19,4
60,4,0.027843912999999887,1.0,66.0,10,19,4
61,5,0.030551638999999575,1.0,67.0,10,19,4
62,6,0.03529247399999935,1.0,68.0,10,19,4
63,7,0.03850702299999931,1.0,69.0,10,19,4
64,8,0.04173878399999964,1.0,70.0,10,19,4
65,9,0.044539878000000144,1.0,71.0,10,19,4
66,10,0.04729044099999946,1.0,72.0,10,19,4
67,11,0.050049954999999535,1.0,73.0,10,19,4
68,1,0.019271231999999472,3.0,75.0,10,19,5
69,2,0.022440299999999525,4.0,77.0,10,19,5
70,3,0.025123995999999593,4.0,78.0,10,19,5
71,4,0.027843912999999887,4.0,79.0,10,19,5
72,5,0.030551638999999575,4.0,80.0,10,19,5
73,6,0.03529247399999935,4.0,81.0,10,19,5
74,7,0.03850702299999931,4.0,82.0,10,19,5
75,8,0.04173878399999964,4.0,83.0,10,19,5
76,9,0.044539878000000144,4.0,84.0,10,19,5
77,10,0.04729044099999946,4.0,85.0,10,19,5
78,11,0.050049954999999535,4.0,86.0,10,19,5
79,12,0.05300071599999967,4.0,87.0,10,19,5
80,1,0.019271231999999472,4.0,88.0,10,19,6
81,2,0.022440299999999525,4.0,89.0,10,19,6
82,3,0.025123995999999593,4.0,90.0,10,19,6
83,4,0.027843912999999887,4.0,91.0,10,19,6
84,5,0.030551638999999575,4.0,92.0,10,19,6
85,6,0.03529247399999935,4.0,93.0,10,19,6
86,7,0.03850702299999931,6.0,95.0,10,19,6
87,8,0.04173878399999964,6.0,96.0,10,19,6
88,9,0.044539878000000144,8.0,98.0,10,19,6
89,10,0.04729044099999946,8.0,99.0,10,19,6
