,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.00013804499999992004,2.0,0.0,10,237,0
1,1,0.004992535999999825,2.0,1.0,10,237,0
2,2,0.005038528999999903,2.0,2.0,10,237,0
3,3,0.00506534599999986,2.0,3.0,10,237,0
4,4,0.005088781999999847,2.0,4.0,10,237,0
5,5,0.005111831999999872,2.0,5.0,10,237,0
6,6,0.005134556000000012,2.0,6.0,10,237,0
7,7,0.005157785999999831,2.0,7.0,10,237,0
8,8,0.005180540999999872,2.0,8.0,10,237,0
9,9,0.005204184999999972,2.0,9.0,10,237,0
10,10,0.005227836999999846,2.0,10.0,10,237,0
11,11,0.005252102000000036,2.0,11.0,10,237,0
12,12,0.0052760179999999934,2.0,12.0,10,237,0
13,13,0.005299825000000036,2.0,13.0,10,237,0
14,14,0.005324141999999865,2.0,14.0,10,237,0
15,15,0.005349147999999859,2.0,15.0,10,237,0
16,16,0.0053741389999999445,2.0,16.0,10,237,0
17,17,0.005399624999999908,2.0,17.0,10,237,0
18,18,0.005433516999999943,4.0,19.0,10,237,0
19,19,0.005461355999999862,4.0,20.0,10,237,0
20,20,0.005488428999999906,4.0,21.0,10,237,0
21,21,0.005516395999999979,4.0,22.0,10,237,0
22,22,0.005544405999999835,4.0,23.0,10,237,0
23,23,0.005576426999999828,4.0,24.0,10,237,0
24,24,0.0056072969999998445,4.0,25.0,10,237,0
25,25,0.005638575999999951,4.0,26.0,10,237,0
26,0,0.00013804499999992004,4.0,27.0,10,237,1
27,1,0.004992535999999825,4.0,28.0,10,237,1
28,2,0.005038528999999903,4.0,29.0,10,237,1
29,3,0.00506534599999986,4.0,30.0,10,237,1
30,4,0.005088781999999847,2.0,31.0,10,237,1
31,5,0.005111831999999872,2.0,32.0,10,237,1
32,6,0.005134556000000012,2.0,33.0,10,237,1
33,7,0.005157785999999831,2.0,34.0,10,237,1
34,8,0.005180540999999872,2.0,35.0,10,237,1
35,9,0.005204184999999972,2.0,36.0,10,237,1
36,10,0.005227836999999846,2.0,37.0,10,237,1
37,11,0.005252102000000036,3.0,39.0,10,237,1
38,12,0.0052760179999999934,3.0,40.0,10,237,1
39,13,0.005299825000000036,3.0,41.0,10,237,1
40,14,0.005324141999999865,3.0,42.0,10,237,1
41,15,0.005349147999999859,3.0,43.0,10,237,1
42,16,0.0053741389999999445,3.0,44.0,10,237,1
43,17,0.005399624999999908,3.0,45.0,10,237,1
44,18,0.005433516999999943,3.0,46.0,10,237,1
45,19,0.005461355999999862,3.0,47.0,10,237,1
46,20,0.005488428999999906,3.0,48.0,10,237,1
47,21,0.005516395999999979,3.0,49.0,10,237,1
48,22,0.005544405999999835,3.0,50.0,10,237,1
49,23,0.005576426999999828,3.0,51.0,10,237,1
50,24,0.0056072969999998445,3.0,52.0,10,237,1
51,25,0.005638575999999951,3.0,53.0,10,237,1
52,0,0.00013804499999992004,4.0,55.0,10,237,2
53,1,0.004992535999999825,4.0,56.0,10,237,2
54,2,0.005038528999999903,4.0,57.0,10,237,2
55,3,0.00506534599999986,4.0,58.0,10,237,2
56,4,0.005088781999999847,4.0,59.0,10,237,2
57,5,0.005111831999999872,5.0,61.0,10,237,2
58,6,0.005134556000000012,5.0,62.0,10,237,2
59,7,0.005157785999999831,2.0,64.0,10,237,2
60,8,0.005180540999999872,2.0,65.0,10,237,2
61,9,0.005204184999999972,2.0,66.0,10,237,2
62,10,0.005227836999999846,2.0,67.0,10,237,2
63,11,0.005252102000000036,2.0,68.0,10,237,2
64,12,0.0052760179999999934,2.0,69.0,10,237,2
65,13,0.005299825000000036,2.0,70.0,10,237,2
66,14,0.005324141999999865,2.0,71.0,10,237,2
67,15,0.005349147999999859,2.0,72.0,10,237,2
68,16,0.0053741389999999445,2.0,73.0,10,237,2
69,17,0.005399624999999908,2.0,74.0,10,237,2
70,18,0.005433516999999943,2.0,75.0,10,237,2
71,19,0.005461355999999862,2.0,76.0,10,237,2
72,20,0.005488428999999906,2.0,77.0,10,237,2
73,21,0.005516395999999979,2.0,78.0,10,237,2
74,22,0.005544405999999835,7.0,80.0,10,237,2
75,23,0.005576426999999828,7.0,81.0,10,237,2
76,24,0.0056072969999998445,7.0,82.0,10,237,2
77,25,0.005638575999999951,7.0,83.0,10,237,2
78,0,0.00013804499999992004,9.0,85.0,10,237,3
79,1,0.004992535999999825,9.0,86.0,10,237,3
80,2,0.005038528999999903,9.0,87.0,10,237,3
81,3,0.00506534599999986,9.0,88.0,10,237,3
82,4,0.005088781999999847,9.0,89.0,10,237,3
83,5,0.005111831999999872,9.0,90.0,10,237,3
84,6,0.005134556000000012,9.0,91.0,10,237,3
85,7,0.005157785999999831,9.0,92.0,10,237,3
86,8,0.005180540999999872,9.0,93.0,10,237,3
87,9,0.005204184999999972,9.0,94.0,10,237,3
88,10,0.005227836999999846,2.0,95.0,10,237,3
89,11,0.005252102000000036,2.0,96.0,10,237,3
90,12,0.0052760179999999934,2.0,97.0,10,237,3
91,13,0.005299825000000036,2.0,98.0,10,237,3
92,14,0.005324141999999865,2.0,99.0,10,237,3
93,15,0.005349147999999859,2.0,100.0,10,237,3
94,16,0.0053741389999999445,2.0,101.0,10,237,3
95,17,0.005399624999999908,2.0,102.0,10,237,3
96,18,0.005433516999999943,2.0,103.0,10,237,3
