,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.24330018500000006,646.0,400.0,False,400,0.1,47
1,1,3.5522870730000005,583.0,802.0,False,400,0.1,47
2,2,7.058774593,583.0,1203.0,False,400,0.1,47
3,3,10.530838756000001,569.0,1605.0,False,400,0.1,47
4,4,14.004014128000001,557.0,2007.0,False,400,0.1,47
5,5,17.494672848,525.0,2409.0,False,400,0.1,47
6,6,20.958868915,525.0,2810.0,False,400,0.1,47
7,7,24.528494933,524.0,3212.0,False,400,0.1,47
8,8,27.970668109000002,515.0,3614.0,False,400,0.1,47
9,9,31.440430734,508.0,4016.0,False,400,0.1,47
10,10,34.896614711999995,502.0,4418.0,False,400,0.1,47
11,11,38.404755957,501.0,4820.0,False,400,0.1,47
12,12,41.948173268999994,498.0,5222.0,False,400,0.1,47
13,13,45.384607411,498.0,5623.0,False,400,0.1,47
14,14,48.945913256,497.0,6025.0,False,400,0.1,47
15,15,52.395212545,497.0,6426.0,False,400,0.1,47
16,16,55.898763763999995,497.0,6827.0,False,400,0.1,47
17,17,59.517838594,497.0,7228.0,False,400,0.1,47
18,18,63.153527432999994,497.0,7629.0,False,400,0.1,47
19,19,67.621469405,497.0,8030.0,False,400,0.1,47
20,20,71.31882011,497.0,8431.0,False,400,0.1,47
21,21,74.988977017,497.0,8832.0,False,400,0.1,47
22,22,78.718050685,497.0,9233.0,False,400,0.1,47
23,23,82.359711307,497.0,9634.0,False,400,0.1,47
24,24,86.004013656,497.0,10035.0,False,400,0.1,47
25,25,89.660992498,497.0,10436.0,False,400,0.1,47
26,26,93.27322131999999,497.0,10837.0,False,400,0.1,47
27,27,96.900515043,497.0,11238.0,False,400,0.1,47
28,28,100.697533825,497.0,11639.0,False,400,0.1,47
29,29,104.33481515599999,497.0,12040.0,False,400,0.1,47
30,30,107.949599624,497.0,12441.0,False,400,0.1,47
31,31,111.570688785,497.0,12842.0,False,400,0.1,47
32,32,115.186864574,497.0,13243.0,False,400,0.1,47
33,33,118.78576169099999,497.0,13644.0,False,400,0.1,47
34,34,122.387433723,497.0,14045.0,False,400,0.1,47
35,35,126.033204802,497.0,14446.0,False,400,0.1,47
36,36,129.677192353,497.0,14847.0,False,400,0.1,47
37,37,133.223474691,497.0,15248.0,False,400,0.1,47
38,38,136.77418694600001,497.0,15649.0,False,400,0.1,47
39,39,140.345070004,497.0,16050.0,False,400,0.1,47
40,40,143.90212423600002,497.0,16451.0,False,400,0.1,47
41,41,147.57059100100003,497.0,16852.0,False,400,0.1,47
42,42,151.21415541300001,497.0,17253.0,False,400,0.1,47
43,43,154.833014028,497.0,17654.0,False,400,0.1,47
44,44,158.51718923,497.0,18055.0,False,400,0.1,47
45,45,162.246982209,497.0,18456.0,False,400,0.1,47
46,46,165.87742934500002,497.0,18857.0,False,400,0.1,47
47,47,169.49499893400002,497.0,19258.0,False,400,0.1,47
48,0,0.24330018500000006,646.0,800.0,False,800,0.1,47
49,1,3.5522870730000005,585.0,1602.0,False,800,0.1,47
50,2,7.058774593,571.0,2404.0,False,800,0.1,47
51,3,10.530838756000001,571.0,3205.0,False,800,0.1,47
52,4,14.004014128000001,561.0,4007.0,False,800,0.1,47
53,5,17.494672848,556.0,4809.0,False,800,0.1,47
54,6,20.958868915,547.0,5611.0,False,800,0.1,47
55,7,24.528494933,544.0,6413.0,False,800,0.1,47
56,8,27.970668109000002,533.0,7215.0,False,800,0.1,47
57,9,31.440430734,526.0,8017.0,False,800,0.1,47
58,10,34.896614711999995,521.0,8819.0,False,800,0.1,47
59,11,38.404755957,516.0,9621.0,False,800,0.1,47
60,12,41.948173268999994,514.0,10423.0,False,800,0.1,47
61,13,45.384607411,512.0,11225.0,False,800,0.1,47
62,14,48.945913256,512.0,12026.0,False,800,0.1,47
63,15,52.395212545,510.0,12828.0,False,800,0.1,47
64,16,55.898763763999995,509.0,13630.0,False,800,0.1,47
65,17,59.517838594,509.0,14431.0,False,800,0.1,47
66,18,63.153527432999994,509.0,15232.0,False,800,0.1,47
67,19,67.621469405,509.0,16033.0,False,800,0.1,47
68,20,71.31882011,509.0,16834.0,False,800,0.1,47
69,21,74.988977017,509.0,17635.0,False,800,0.1,47
70,22,78.718050685,509.0,18436.0,False,800,0.1,47
71,23,82.359711307,509.0,19237.0,False,800,0.1,47
72,24,86.004013656,509.0,20038.0,False,800,0.1,47
73,25,89.660992498,509.0,20839.0,False,800,0.1,47
74,26,93.27322131999999,509.0,21640.0,False,800,0.1,47
75,27,96.900515043,509.0,22441.0,False,800,0.1,47
76,28,100.697533825,509.0,23242.0,False,800,0.1,47
77,29,104.33481515599999,509.0,24043.0,False,800,0.1,47
78,30,107.949599624,509.0,24844.0,False,800,0.1,47
79,31,111.570688785,509.0,25645.0,False,800,0.1,47
80,32,115.186864574,509.0,26446.0,False,800,0.1,47
81,33,118.78576169099999,509.0,27247.0,False,800,0.1,47
82,34,122.387433723,509.0,28048.0,False,800,0.1,47
83,35,126.033204802,509.0,28849.0,False,800,0.1,47
84,36,129.677192353,509.0,29650.0,False,800,0.1,47
85,37,133.223474691,509.0,30451.0,False,800,0.1,47
86,38,136.77418694600001,509.0,31252.0,False,800,0.1,47
87,39,140.345070004,509.0,32053.0,False,800,0.1,47
88,40,143.90212423600002,509.0,32854.0,False,800,0.1,47
89,41,147.57059100100003,509.0,33655.0,False,800,0.1,47
90,42,151.21415541300001,509.0,34456.0,False,800,0.1,47
91,43,154.833014028,509.0,35257.0,False,800,0.1,47
92,44,158.51718923,509.0,36058.0,False,800,0.1,47
93,45,162.246982209,509.0,36859.0,False,800,0.1,47
94,46,165.87742934500002,509.0,37660.0,False,800,0.1,47
95,47,169.49499893400002,509.0,38461.0,False,800,0.1,47
96,0,0.24330018500000006,646.0,1600.0,False,1600,0.1,47
97,1,3.5522870730000005,574.0,3202.0,False,1600,0.1,47
98,2,7.058774593,574.0,4803.0,False,1600,0.1,47
99,3,10.530838756000001,574.0,6404.0,False,1600,0.1,47
100,4,14.004014128000001,564.0,8006.0,False,1600,0.1,47
101,5,17.494672848,564.0,9607.0,False,1600,0.1,47
102,6,20.958868915,558.0,11209.0,False,1600,0.1,47
103,7,24.528494933,552.0,12811.0,False,1600,0.1,47
104,8,27.970668109000002,547.0,14413.0,False,1600,0.1,47
105,9,31.440430734,536.0,16015.0,False,1600,0.1,47
106,10,34.896614711999995,528.0,17617.0,False,1600,0.1,47
