,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.004039830999999827,2.0,200.0,200,0.1,190
1,1,0.021293615999999904,9.0,402.0,200,0.1,190
2,2,0.03390983099999989,11.0,604.0,200,0.1,190
3,3,0.04636433299999987,12.0,806.0,200,0.1,190
4,4,0.058769664999999804,12.0,1007.0,200,0.1,190
5,5,0.07114173499999987,18.0,1209.0,200,0.1,190
6,6,0.08330843399999988,18.0,1410.0,200,0.1,190
7,7,0.09547143599999997,18.0,1611.0,200,0.1,190
8,8,0.10793371299999999,18.0,1812.0,200,0.1,190
9,9,0.12072797599999996,18.0,2013.0,200,0.1,190
10,10,0.13329309599999983,18.0,2214.0,200,0.1,190
11,11,0.150150008,19.0,2416.0,200,0.1,190
12,12,0.16408487299999996,19.0,2617.0,200,0.1,190
13,13,0.17656273899999997,19.0,2818.0,200,0.1,190
14,14,0.18900615899999984,21.0,3020.0,200,0.1,190
15,15,0.2017183869999999,25.0,3222.0,200,0.1,190
16,16,0.21431613299999985,25.0,3423.0,200,0.1,190
17,17,0.227127136,25.0,3624.0,200,0.1,190
18,18,0.23988081599999989,25.0,3825.0,200,0.1,190
19,19,0.25289247299999995,25.0,4026.0,200,0.1,190
20,20,0.26635129,25.0,4227.0,200,0.1,190
21,21,0.28376853999999985,25.0,4428.0,200,0.1,190
22,22,0.2969472659999999,27.0,4630.0,200,0.1,190
23,23,0.3099763179999999,27.0,4831.0,200,0.1,190
24,24,0.32304683999999995,27.0,5032.0,200,0.1,190
25,25,0.33648058599999997,27.0,5233.0,200,0.1,190
26,26,0.34974296299999996,27.0,5434.0,200,0.1,190
27,27,0.36350335999999994,27.0,5635.0,200,0.1,190
28,28,0.377665465,27.0,5836.0,200,0.1,190
29,29,0.39079376999999993,27.0,6037.0,200,0.1,190
30,30,0.4047199559999999,27.0,6238.0,200,0.1,190
31,31,0.4219329989999998,27.0,6439.0,200,0.1,190
32,32,0.435221831,27.0,6640.0,200,0.1,190
33,33,0.44841026799999995,27.0,6841.0,200,0.1,190
34,34,0.4619098309999998,28.0,7043.0,200,0.1,190
35,35,0.4751014539999998,28.0,7244.0,200,0.1,190
36,36,0.48949260799999994,28.0,7445.0,200,0.1,190
37,37,0.5031640339999999,28.0,7646.0,200,0.1,190
38,38,0.5164421450000001,28.0,7847.0,200,0.1,190
39,39,0.529726793,28.0,8048.0,200,0.1,190
40,40,0.54317335,28.0,8249.0,200,0.1,190
41,41,0.5598898270000001,28.0,8450.0,200,0.1,190
42,42,0.5731165739999997,28.0,8651.0,200,0.1,190
43,43,0.586266755,28.0,8852.0,200,0.1,190
44,44,0.599349406,28.0,9053.0,200,0.1,190
45,45,0.612433604,28.0,9254.0,200,0.1,190
46,46,0.625863485,28.0,9455.0,200,0.1,190
47,47,0.6392441899999999,28.0,9656.0,200,0.1,190
48,48,0.6526277330000001,28.0,9857.0,200,0.1,190
49,49,0.6660427529999997,31.0,10059.0,200,0.1,190
50,50,0.6794394919999998,31.0,10260.0,200,0.1,190
51,51,0.696739247,31.0,10461.0,200,0.1,190
52,52,0.709958044,31.0,10662.0,200,0.1,190
53,53,0.7234280699999998,31.0,10863.0,200,0.1,190
54,54,0.7370099049999999,31.0,11064.0,200,0.1,190
55,55,0.7506064539999997,34.0,11266.0,200,0.1,190
56,56,0.7643815780000001,34.0,11467.0,200,0.1,190
57,57,0.7783507279999999,34.0,11668.0,200,0.1,190
58,58,0.7919891569999997,34.0,11869.0,200,0.1,190
59,59,0.8057262719999998,35.0,12071.0,200,0.1,190
60,60,0.8195184799999997,35.0,12272.0,200,0.1,190
61,61,0.836971916,36.0,12474.0,200,0.1,190
62,62,0.8507220059999998,40.0,12676.0,200,0.1,190
63,63,0.864460862,40.0,12877.0,200,0.1,190
64,64,0.878343171,44.0,13079.0,200,0.1,190
65,65,0.892235238,44.0,13280.0,200,0.1,190
66,66,0.9060343249999998,44.0,13481.0,200,0.1,190
67,67,0.9206490729999999,44.0,13682.0,200,0.1,190
68,68,0.935198432,45.0,13884.0,200,0.1,190
69,69,0.9492950709999999,47.0,14086.0,200,0.1,190
70,70,0.963252604,47.0,14287.0,200,0.1,190
71,71,0.981104277,47.0,14488.0,200,0.1,190
72,72,0.9951871560000001,47.0,14689.0,200,0.1,190
73,73,1.0093442879999999,49.0,14891.0,200,0.1,190
74,74,1.023728267,49.0,15092.0,200,0.1,190
75,75,1.038432431,49.0,15293.0,200,0.1,190
76,76,1.0527738379999998,49.0,15494.0,200,0.1,190
77,77,1.0672530999999998,49.0,15695.0,200,0.1,190
78,78,1.081806415,49.0,15896.0,200,0.1,190
79,79,1.096555023,49.0,16097.0,200,0.1,190
80,80,1.1109746710000001,49.0,16298.0,200,0.1,190
81,81,1.1294512019999998,51.0,16500.0,200,0.1,190
82,82,1.1443276179999997,56.0,16702.0,200,0.1,190
83,83,1.159007571,56.0,16903.0,200,0.1,190
84,84,1.173637277,56.0,17104.0,200,0.1,190
85,85,1.1883661509999999,56.0,17305.0,200,0.1,190
86,86,1.2032446700000001,57.0,17507.0,200,0.1,190
87,87,1.218096397,57.0,17708.0,200,0.1,190
88,88,1.232769127,57.0,17909.0,200,0.1,190
89,89,1.2478026509999998,57.0,18110.0,200,0.1,190
90,90,1.262774044,58.0,18312.0,200,0.1,190
91,91,1.281802312,59.0,18514.0,200,0.1,190
92,92,1.296795801,59.0,18715.0,200,0.1,190
93,93,1.311779633,59.0,18916.0,200,0.1,190
94,94,1.3271685039999999,60.0,19118.0,200,0.1,190
95,95,1.3422739479999999,60.0,19319.0,200,0.1,190
96,96,1.357350018,60.0,19520.0,200,0.1,190
97,97,1.3719766299999998,60.0,19721.0,200,0.1,190
98,98,1.387638258,60.0,19922.0,200,0.1,190
99,99,1.402790344,60.0,20123.0,200,0.1,190
100,100,1.4179648679999999,60.0,20324.0,200,0.1,190
101,101,1.4376116589999999,60.0,20525.0,200,0.1,190
102,102,1.452823822,60.0,20726.0,200,0.1,190
103,103,1.4678681249999999,60.0,20927.0,200,0.1,190
104,104,1.48287624,60.0,21128.0,200,0.1,190
105,105,1.4979323359999999,60.0,21329.0,200,0.1,190
106,106,1.5130092889999998,60.0,21530.0,200,0.1,190
107,107,1.5280866419999999,60.0,21731.0,200,0.1,190
108,108,1.5435796859999997,60.0,21932.0,200,0.1,190
109,109,1.558903351,60.0,22133.0,200,0.1,190
110,110,1.573909849,60.0,22334.0,200,0.1,190
111,111,1.5930320980000001,60.0,22535.0,200,0.1,190
112,112,1.608219653,61.0,22737.0,200,0.1,190
113,113,1.623183504,61.0,22938.0,200,0.1,190
114,114,1.6384245599999998,61.0,23139.0,200,0.1,190
115,115,1.6534554080000001,61.0,23340.0,200,0.1,190
116,116,1.668874518,61.0,23541.0,200,0.1,190
117,117,1.6841997159999997,61.0,23742.0,200,0.1,190
118,118,1.6996342979999999,62.0,23944.0,200,0.1,190
119,119,1.7149941959999997,62.0,24145.0,200,0.1,190
120,120,1.7306492969999998,62.0,24346.0,200,0.1,190
121,121,1.7501976209999999,62.0,24547.0,200,0.1,190
122,122,1.766107538,62.0,24748.0,200,0.1,190
123,123,1.781901944,62.0,24949.0,200,0.1,190
124,124,1.7966929600000001,62.0,25150.0,200,0.1,190
125,125,1.812240627,64.0,25352.0,200,0.1,190
126,126,1.8272448459999997,64.0,25553.0,200,0.1,190
127,127,1.842502756,64.0,25754.0,200,0.1,190
128,128,1.8579450719999997,64.0,25955.0,200,0.1,190
129,129,1.8733627130000001,64.0,26156.0,200,0.1,190
130,130,1.8891554560000001,64.0,26357.0,200,0.1,190
131,131,1.909706489,64.0,26558.0,200,0.1,190
132,132,1.9260923719999998,64.0,26759.0,200,0.1,190
133,133,1.941915926,66.0,26961.0,200,0.1,190
134,134,1.9574352849999999,67.0,27163.0,200,0.1,190
135,135,1.9729307779999998,67.0,27364.0,200,0.1,190
136,136,1.988114254,69.0,27566.0,200,0.1,190
137,137,2.003840413,69.0,27767.0,200,0.1,190
138,138,2.019033944,69.0,27968.0,200,0.1,190
139,139,2.034465779,69.0,28169.0,200,0.1,190
140,140,2.050990867,69.0,28370.0,200,0.1,190
141,141,2.071479368,69.0,28571.0,200,0.1,190
142,142,2.08795522,69.0,28772.0,200,0.1,190
143,143,2.104723569,69.0,28973.0,200,0.1,190
144,144,2.121385735,69.0,29174.0,200,0.1,190
145,145,2.138058422,69.0,29375.0,200,0.1,190
146,146,2.15485477,69.0,29576.0,200,0.1,190
147,147,2.171794388,69.0,29777.0,200,0.1,190
148,148,2.188524718,69.0,29978.0,200,0.1,190
149,149,2.2045228,69.0,30179.0,200,0.1,190
150,150,2.220133957,69.0,30380.0,200,0.1,190
151,151,2.240129911,71.0,30582.0,200,0.1,190
152,152,2.255796721,71.0,30783.0,200,0.1,190
153,153,2.271635697,71.0,30984.0,200,0.1,190
154,154,2.287161541,71.0,31185.0,200,0.1,190
155,155,2.302635004,71.0,31386.0,200,0.1,190
156,156,2.31823565,72.0,31588.0,200,0.1,190
157,157,2.333931468,72.0,31789.0,200,0.1,190
158,158,2.349586351,72.0,31990.0,200,0.1,190
159,159,2.3652174859999997,72.0,32191.0,200,0.1,190
160,160,2.380789467,72.0,32392.0,200,0.1,190
161,161,2.40084039,72.0,32593.0,200,0.1,190
162,162,2.417238527,72.0,32794.0,200,0.1,190
163,163,2.433459285,72.0,32995.0,200,0.1,190
164,164,2.449336206,72.0,33196.0,200,0.1,190
165,165,2.465148968,72.0,33397.0,200,0.1,190
166,166,2.480888894,72.0,33598.0,200,0.1,190
167,167,2.496524323,72.0,33799.0,200,0.1,190
168,168,2.5121347829999996,72.0,34000.0,200,0.1,190
169,169,2.52779442,72.0,34201.0,200,0.1,190
170,170,2.5434629209999997,72.0,34402.0,200,0.1,190
171,171,2.563868041,72.0,34603.0,200,0.1,190
172,172,2.579940541,72.0,34804.0,200,0.1,190
173,173,2.5962567869999997,72.0,35005.0,200,0.1,190
174,174,2.612091103,72.0,35206.0,200,0.1,190
175,175,2.628370531,72.0,35407.0,200,0.1,190
176,176,2.644065222,72.0,35608.0,200,0.1,190
177,177,2.6598034979999996,72.0,35809.0,200,0.1,190
178,178,2.6759755170000004,72.0,36010.0,200,0.1,190
