,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
97,97,4.971925251,50.0,39306.0,400,0.1,190
98,98,5.021671715,50.0,39707.0,400,0.1,190
99,99,5.07224902,50.0,40108.0,400,0.1,190
100,100,5.121982742,50.0,40509.0,400,0.1,190
101,101,5.177960545,50.0,40910.0,400,0.1,190
102,102,5.229024473,50.0,41311.0,400,0.1,190
103,103,5.279524400000001,50.0,41712.0,400,0.1,190
104,104,5.332025767,50.0,42113.0,400,0.1,190
105,105,5.382457082,50.0,42514.0,400,0.1,190
106,106,5.433237802,50.0,42915.0,400,0.1,190
107,107,5.484339941,50.0,43316.0,400,0.1,190
108,108,5.534866449,50.0,43717.0,400,0.1,190
109,109,5.585087887,50.0,44118.0,400,0.1,190
110,110,5.6360133690000005,50.0,44519.0,400,0.1,190
111,111,5.690890779,50.0,44920.0,400,0.1,190
112,112,5.740744435,50.0,45321.0,400,0.1,190
113,113,5.791640064,50.0,45722.0,400,0.1,190
114,114,5.843348376,50.0,46123.0,400,0.1,190
115,115,5.8946879,50.0,46524.0,400,0.1,190
116,116,5.945358956,50.0,46925.0,400,0.1,190
117,117,5.997493802,50.0,47326.0,400,0.1,190
118,118,6.0486241430000005,50.0,47727.0,400,0.1,190
119,119,6.100577323,50.0,48128.0,400,0.1,190
120,120,6.152095497,50.0,48529.0,400,0.1,190
121,121,6.208616828,50.0,48930.0,400,0.1,190
122,122,6.260462083,50.0,49331.0,400,0.1,190
123,123,6.312222243,50.0,49732.0,400,0.1,190
124,124,6.364574296,50.0,50133.0,400,0.1,190
125,125,6.415724366000001,50.0,50534.0,400,0.1,190
126,126,6.467374518,50.0,50935.0,400,0.1,190
127,127,6.5192866469999995,50.0,51336.0,400,0.1,190
128,128,6.571546646,50.0,51737.0,400,0.1,190
129,129,6.623230087,50.0,52138.0,400,0.1,190
130,130,6.674110247,50.0,52539.0,400,0.1,190
131,131,6.72932619,50.0,52940.0,400,0.1,190
132,132,6.779987359,50.0,53341.0,400,0.1,190
133,133,6.831322749,50.0,53742.0,400,0.1,190
134,134,6.881289842999999,50.0,54143.0,400,0.1,190
135,135,6.932519661000001,50.0,54544.0,400,0.1,190
136,136,6.983264365,50.0,54945.0,400,0.1,190
137,137,7.034446272,50.0,55346.0,400,0.1,190
138,138,7.084857111,50.0,55747.0,400,0.1,190
139,139,7.135895002,50.0,56148.0,400,0.1,190
140,140,7.186572622,50.0,56549.0,400,0.1,190
141,141,7.24164783,50.0,56950.0,400,0.1,190
142,142,7.293446012,50.0,57351.0,400,0.1,190
143,143,7.344115511,50.0,57752.0,400,0.1,190
144,144,7.395350596,50.0,58153.0,400,0.1,190
145,145,7.4456694720000005,50.0,58554.0,400,0.1,190
146,146,7.496451085,50.0,58955.0,400,0.1,190
147,147,7.546349226,50.0,59356.0,400,0.1,190
148,148,7.596944254,50.0,59757.0,400,0.1,190
149,149,7.646724068000001,50.0,60158.0,400,0.1,190
150,150,7.698419899000001,50.0,60559.0,400,0.1,190
151,151,7.752999043000001,50.0,60960.0,400,0.1,190
152,152,7.805298549,50.0,61361.0,400,0.1,190
153,153,7.855945779000001,50.0,61762.0,400,0.1,190
