,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.008615939999999878,65.0,100.0,False,100,0.1,19
1,1,0.3442085799999999,63.0,202.0,False,100,0.1,19
2,2,0.7015462529999998,59.0,304.0,False,100,0.1,19
3,3,1.0542751659999998,59.0,405.0,False,100,0.1,19
4,4,1.4074660490000002,59.0,506.0,False,100,0.1,19
5,5,1.7620002359999998,59.0,607.0,False,100,0.1,19
6,6,2.12319715,59.0,708.0,False,100,0.1,19
7,7,2.479074097,59.0,809.0,False,100,0.1,19
8,8,2.8723908379999994,59.0,910.0,False,100,0.1,19
9,9,3.2344940269999993,59.0,1011.0,False,100,0.1,19
10,10,3.5887731249999995,59.0,1112.0,False,100,0.1,19
11,11,3.949397126,59.0,1213.0,False,100,0.1,19
12,12,4.311940195,59.0,1314.0,False,100,0.1,19
13,13,4.670323395,59.0,1415.0,False,100,0.1,19
14,14,5.027828647,59.0,1516.0,False,100,0.1,19
15,15,5.382427356,59.0,1617.0,False,100,0.1,19
16,16,5.7361612509999995,59.0,1718.0,False,100,0.1,19
17,17,6.091989979,59.0,1819.0,False,100,0.1,19
18,18,6.451630269999999,59.0,1920.0,False,100,0.1,19
19,19,6.80922636,59.0,2021.0,False,100,0.1,19
20,0,0.008615939999999878,65.0,200.0,False,200,0.1,19
21,1,0.3442085799999999,62.0,402.0,False,200,0.1,19
22,2,0.7015462529999998,58.0,604.0,False,200,0.1,19
23,3,1.0542751659999998,58.0,805.0,False,200,0.1,19
24,4,1.4074660490000002,57.0,1007.0,False,200,0.1,19
25,5,1.7620002359999998,57.0,1208.0,False,200,0.1,19
26,6,2.12319715,57.0,1409.0,False,200,0.1,19
27,7,2.479074097,57.0,1610.0,False,200,0.1,19
28,8,2.8723908379999994,57.0,1811.0,False,200,0.1,19
29,9,3.2344940269999993,57.0,2012.0,False,200,0.1,19
30,10,3.5887731249999995,57.0,2213.0,False,200,0.1,19
31,11,3.949397126,57.0,2414.0,False,200,0.1,19
32,12,4.311940195,57.0,2615.0,False,200,0.1,19
33,13,4.670323395,57.0,2816.0,False,200,0.1,19
34,14,5.027828647,57.0,3017.0,False,200,0.1,19
35,15,5.382427356,57.0,3218.0,False,200,0.1,19
36,16,5.7361612509999995,57.0,3419.0,False,200,0.1,19
37,17,6.091989979,57.0,3620.0,False,200,0.1,19
38,18,6.451630269999999,57.0,3821.0,False,200,0.1,19
39,19,6.80922636,57.0,4022.0,False,200,0.1,19
40,0,0.008615939999999878,65.0,400.0,False,400,0.1,19
41,1,0.3442085799999999,57.0,802.0,False,400,0.1,19
42,2,0.7015462529999998,55.0,1204.0,False,400,0.1,19
43,3,1.0542751659999998,53.0,1606.0,False,400,0.1,19
44,4,1.4074660490000002,52.0,2008.0,False,400,0.1,19
45,5,1.7620002359999998,52.0,2409.0,False,400,0.1,19
46,6,2.12319715,51.0,2811.0,False,400,0.1,19
47,7,2.479074097,51.0,3212.0,False,400,0.1,19
48,8,2.8723908379999994,51.0,3613.0,False,400,0.1,19
49,9,3.2344940269999993,51.0,4014.0,False,400,0.1,19
50,10,3.5887731249999995,51.0,4415.0,False,400,0.1,19
51,11,3.949397126,51.0,4816.0,False,400,0.1,19
52,12,4.311940195,51.0,5217.0,False,400,0.1,19
53,13,4.670323395,51.0,5618.0,False,400,0.1,19
54,14,5.027828647,51.0,6019.0,False,400,0.1,19
55,15,5.382427356,51.0,6420.0,False,400,0.1,19
56,16,5.7361612509999995,51.0,6821.0,False,400,0.1,19
57,17,6.091989979,51.0,7222.0,False,400,0.1,19
58,18,6.451630269999999,51.0,7623.0,False,400,0.1,19
59,19,6.80922636,51.0,8024.0,False,400,0.1,19
60,0,0.008615939999999878,65.0,800.0,False,800,0.1,19
